Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML
Eremitalpa_granti,SD,17.15,17.35,3.974,10.85,7.924,11.77,7.299,7.924,1.611,1.003,7.764,5.532,8.204,11.6610791,3.031,9.732,5.44,5.195,7.217
Scalopus_aquaticus,HR,18.06,34.06,5.308,6.861,6.589,26.40422905,7.455,4.531,8.73708324,5.316,11.26,6.532,11.91,4.178,3.464,15.98,4.469,19.69,8.462
Condylura_cristata,HR,13.79,34.38,4.871,5.238,5.182,26.40422905,4.994,2.572,8.73708324,2.895,8.04,5.344,13.55,3.337,2.329,13.56,2.062,11.16,5.346
Mogera_wogura,HR,19.26,38.08,7.667,7.973,7.73,26.40422905,7.742,5.881,8.73708324,6.206,12.83,8.318,15.37,4.746,4.21,18.13,1.506,19.07,9.202
Galemys_pyrenaicus,HR,16.19,33.66,5.873,4.59,2.777,26.40422905,2.878,1.919,8.73708324,3.101,7.028,4.305,17.08,3.156,3.033,13.14,1.441,5.21,3.564
Talpa_romana,HR,16.91,35.39,5.767,6.672,6.944,26.40422905,6.705,5.659,8.73708324,5.984,11.24,7.558,12.76,3.465,2.97,15.24,4.049,14.87,7.015
Parascalops_breweri,HR,15.46,31.46,6.632,5.525,5.356,26.40422905,5.349,3.688,8.73708324,3.741,8.809,5.466,10.77,3.601,2.06,12.07,1.559,11.19,6.129
Scapanus_latimanus,HR,15.61,31.84,7.571,5.625,5.458,26.40422905,5.745,3.824,8.73708324,4.019,9.758,6.378,10.01,3.22,3.24,13.93,3.675,13.33,6.656
Euroscaptor_micrura,HR,14.13,29.9,9.266,5.163,4.651,26.40422905,4.972,3.945,8.73708324,4.876,8.607,5.926,10.88,2.599,2.715,12.77,2.401,11.69,4.984
Neurotrichus_gibbsii,HR,11.06,24.21,2.44,3.45,2.03,26.40422905,1.49,2.51,8.73708324,2.31,4.38,2.96,9.39,1.61,2.14,9.79,1.58,4.23,4.79
Ornithorhynchus_anatinus,LD,45.12,99.44,11.94,33.82,24.79,21.55,21.55,24.79,16.21,5.982,28.61,13.15,32.34,9.289,10.62,46.27,5.825,24.99,11.53
Tachyglossus_aculeatus,LD,44.74,98.24,14.75,55.72,45.73,28.63,28.63,45.73,30.39,12.38,49.42,16.92,44.04,15,16.14,54.43,8.94,41.17,23.44
Zaglossus_bruijni,LD,57.1,189.1,20.19,72.02,60.71,37.54,31.02,60.71,30.09,10.84,55.7,19.66,84.04,20.22,13.26,55.94,10.44,53.93,25.01
Zalophus_californianus,UF,107.67,209.5,46.46,127.61,82.71,73.85,81.18,71.84,32.39,27.36,51.36,36.17,111.27,30.77,37.14,161.65,7.584452514,85.49,21.81
Eumetopias_jubatus,UF,221.13,341,85.25,306.63,184.61,167.92,175.88,170.74,58.78,47.84,121.36,114.27,248.78,71.79,15.73971858,285.3,58.07,128.6,43.26
Odobenus_rosmarus,HP,139.95,198.21,70.33,113.82,85.72,74.76,73.91,63.67,13.42,10.27,52.93,32.65,83.25,33.91,15.73971858,53.45489305,7.584452514,95.98,9.234421023
Phoca_vitulina,US,119.02,199.03,44.96,95.08,57.34,53.82,52.47,51.77,22.5,29.69,36.87,28.41,85.29,28.99,15.73971858,143.19,7.584452514,54.79,48.14
Halichoerus_grypus,US,203.06,322,69.91,166.09,117.76,90.83,108.26,99.76,43.49,49.76,70.17,56.39,159.47,62.38,50.69,264.4,7.584452514,96.74,94.01
Manis_pentadactyla,H&P,38.42,84.38,14.26,63.1,39.16,30.66,38.73,23.81,10.77,4.39,29.71,19.81,38.87,10.6,17.65,53.45489305,6.32,22.03,9.234421023
Trichechus_manatus,SW,224.27,356,70.84,207.92,110.14,147.92,136.63,101.83,19.92,21.42,73.73,26.83,142.3,37.84,52.5,189.55,7.584452514,148.56,19.36
Dugong_dugon,SW,200.7,366.3,45.54,114.3,81.6,82.78,74.94,63.59,28.48,34.67,56.04,7.336,89.19,29.59,35.45,104.4,28.52,68.91,10.29
Cyclopes_didactylus,H&P,24.57,49.39,6.574,28.97,12.54,9.462,12.54,15.86,4.055,1.786,13.62,6.76,22.04,4.002,6.5,27.39,7.57,9.381,17.23
Tamandua_tetradactyla,H&P,34.42,93.03,14.32,60.65,32.92,26.43,32.92,33.42,4.2,3.19,26.62,13.32,39.76,13.91,15.73971858,63.26,7.584452514,22.41,31.27
Delphinus_capensis,AQ,198.99,465,103.27,300.02,45.19,44.96,39.98,41.71,40.02,32.58,40.84,20.01,48.84,11.6610791,91.02,188.02,15.81,97.44,9.234421023
Lissodelphis_borealis,AQ,191.75,440,112.92,256.43,45.21,44.24,37.74,35.73,41.24,32.65,38.29,11.96,64.95,11.6610791,86.18,122.01,7.584452514,66.62,9.234421023
Tursiops_truncatus,AQ,241.57,454,126.43,372.52,58.71,55.41,47.42,45.65,45.05,41.04,47.49,22.48,69.29,11.6610791,82.09,229.68,13.15,95.03,9.234421023
Lagenorhynchus_obliquidens,AQ,194.34,377,107.92,318.01,47.94,48.24,45.02,47.63,47.94,33.94,45.97,17.13,61.19,11.6610791,95.75,191.37,12.57,99.47,9.234421023
Steno_bredanensis,AQ,202.94,501,105.88,375.15,58.52,61.56,58.37,56.74,56.2,41.89,55.4,22.23,74.57,11.6610791,110.71,222.53,44.4,136.96,9.234421023
Stenella_coeruleoalba,AQ,223.67,436,97.85,255.66,37.45,41.71,44.13,34.29,44.08,32.47,38.27,20.32,49.31,11.6610791,91.47,152.7,7.12,78.71,9.234421023
Kogia_sima,AQ,232.55,252.79,98.17,323.04,56.54,62.31,54.64,54.49,48.05,31.48,42.91,15.08,48.92,11.6610791,76.02,197.27,7.584452514,100.7,9.234421023
Phocoena_phocoena,AQ,173.62,294.12,83.73,228.27,52.54,53.16,43.92,43.32,38.66,34.34,35.81,11.53,49.9,11.6610791,80.72,117.39,8.47,72.29,9.234421023
